feature,importance
P1__radius__sd__max,0.0008439717050521428
MCA__radius__sd__min,0.0008427461284536849
ICA_bifurcation__bifurcation__points_radius__mean,0.0008401960869066139
Pcom__curvature__mean__max,0.0008391757498047038
Pcom__curvature__median__max,0.0008355658459470481
Acom__radius__sd__max,0.0008333333333333328
ICA__length__mean,0.0008302209772798011
PCA__radius__min__max,0.0008255291149875879
P1__radius__max__min,0.0008245732583363395
C6__radius__max__min,0.0008243023582052416
Acom__radius__max__mean,0.0008188040490007721
A2__curvature__q1__mean,0.0008172484326270304
ACA__curvature__q1__min,0.0008137799670737475
BA__curvature__median__mean,0.00080990604577261
Pcom_bifurcation__bifurcation__points_angle__min,0.0008094526660703133
Acom_bifurcation__bifurcation__points_angle__mean,0.0008093206086484537
P1__radius__max__mean,0.0008074602866269532
BA__curvature__mean__min,0.0008072649487492859
C7__radius__median__max,0.0008011633783288053
BA__volume__max,0.0007986111111111106
ICA__curvature__min__max,0.0007965636356560768
C6__radius__q1__max,0.0007947403546555179
ACA__radius__mean__min,0.00079293690180787
Pcom__curvature__mean__mean,0.0007927076751291373
C7__radius__sd__max,0.0007917550127218311
BA_bifurcation__angles__BA/L-PCA__count,0.0007910156249999994
Acom__curvature__median__min,0.0007890748520781804
C7__tortuosity__min,0.0007804437564499482
P1__volume__min,0.0007731328842009953
PCA__curvature__q1__max,0.0007693804916027139
ICA__radius__mean__max,0.0007661290322580641
ICA__curvature__median__mean,0.0007591093117408915
A1__tortuosity__mean,0.0007571550210627552
C7__curvature__min__max,0.0007564355933921158
Pcom__tortuosity__max,0.00074644810097603
P2__curvature__min__max,0.0007441329664127243
A2__curvature__q3__mean,0.0007437428655861242
P1__radius__q1__max,0.0007432745825602967
A1__curvature__sd__mean,0.000742701048657437
P2__curvature__q3__mean,0.0007322117772937453
MCA__radius__median__mean,0.0007321557069841033
BA__curvature__sd__mean,0.0007304887472230269
ICA__radius__q3__max,0.0007287790182527018
ICA__curvature__q1__min,0.0007262799834105911
Acom__volume__mean,0.0007250441018561127
P1__tortuosity__min,0.0007113803584913686
P2__length__mean,0.0007094768653454524
BA_bifurcation__angles__BA/R-PCA__max,0.0007092041386913187
PCA__curvature__q3__min,0.0007058823529411773
BA__curvature__min__mean,0.0007047439345555007
PCA__tortuosity__max,0.000703125
Pcom__curvature__max__min,0.000702215788553158
ICA__curvature__mean__max,0.0006975706949858592
P2__radius__mean__mean,0.0006953391508284605
