feature,importance
component_5__tortuosity__min,0.0006518450692173616
component_4__radius__max__min,0.0006503464872392523
component_2__radius__mean__min,0.000646176337942259
component_19__curvature__min__count,0.0006460277582595683
component_4__radius__q3__min,0.0006458645555211062
component_2__radius__q3__min,0.0006413259594944305
component_16__radius__sd__mean,0.0006390148554442941
component_6__radius__mean__count,0.0006389396449491502
component_16__curvature__sd__min,0.0006385482731353735
component_1__curvature__sd__min,0.0006379995318555315
component_11__curvature__max__max,0.00063672834320067
component_7__curvature__median__min,0.0006358481971614879
component_19__curvature__mean__max,0.0006355305100182145
component_6__radius__sd__count,0.0006351083534602564
component_12__tortuosity__std,0.0006351055681662937
component_4__curvature__q1__max,0.0006329473824591489
component_13__radius__q1__max,0.0006320736478611791
component_21__radius__sd__mean,0.0006304347826086961
component_6__curvature__q3__mean,0.0006291397208701357
component_16__length__min,0.0006257461412915938
component_20__volume__min,0.0006213102266235005
component_1__radius__mean__max,0.00062088459571156
component_14__radius__min__mean,0.0006199990390358849
component_23__tortuosity__max,0.0006177511200435454
component_6__radius__q1__min,0.0006177110147546648
component_20__curvature__q1__count,0.0006157344313136414
component_10__tortuosity__min,0.0006155703410192071
component_2__radius__q3__mean,0.0006149603260078493
component_5__curvature__mean__max,0.0006112164238288356
component_4__curvature__q3__mean,0.0006104608407500515
component_7__curvature__sd__mean,0.0006096472274328489
component_10__curvature__median__count,0.0006075642998298161
component_25__curvature__q3__mean,0.0006061872909698988
component_7__radius__max__mean,0.0006052035596656895
component_16__radius__q1__min,0.0006041504912085819
component_4__curvature__sd__max,0.0006017778251663466
component_14__radius__median__max,0.0006001655629139052
component_10__volume__mean,0.0006000257475080378
component_22__radius__min__mean,0.0005996726583632978
component_26__tortuosity__min,0.0005996032752601057
component_18__curvature__q3__min,0.0005978906842824322
component_21__radius__min__count,0.0005973872012770574
component_22__radius__mean__min,0.0005962639109124233
component_13__volume__min,0.0005960235358426565
component_23__curvature__median__count,0.0005939672293942407
component_16__radius__max__mean,0.0005932516110754976
component_12__length__count,0.0005930644402243668
component_19__radius__median__count,0.0005921553092145657
component_4__curvature__q3__min,0.0005890310011290481
component_16__curvature__sd__mean,0.0005872318417726917
component_25__radius__median__count,0.0005854430379746837
component_19__curvature__q3__mean,0.0005846774193548392
component_6__radius__max__max,0.0005842772545790777
component_25__radius__sd__min,0.0005835641336333691
component_21__length__min,0.0005828308929084101
component_22__volume__min,0.000582260418123214
component_19__tortuosity__mean,0.0005805954825462006
component_6__radius__mean__min,0.0005800859878071066
component_25__length__mean,0.0005775260515855612
component_21__radius__max__min,0.0005766531503431068
component_3__tortuosity__max,0.0005765654908611805
component_12__tortuosity__mean,0.0005752109225075827
component_21__length__count,0.0005741178105029167
component_9__radius__sd__count,0.000572504903051942
component_15__radius__median__min,0.0005716287646920675
component_26__radius__median__max,0.0005711766187956659
component_21__volume__min,0.0005679823396961207
component_23__radius__mean__mean,0.0005628821078829194
component_19__curvature__sd__max,0.0005596054888507687
component_15__radius__mean__std,0.0005579984649770126
component_7__radius__min__mean,0.0005570364814205378
component_27__radius__q1__mean,0.0005564692982456122
component_25__volume__count,0.0005552319857027158
component_1__curvature__mean__mean,0.0005550965021158516
component_20__radius__min__count,0.0005509118541033438
component_7__radius__q3__min,0.0005490098680893586
component_25__radius__mean__min,0.0005480434958363642
component_25__radius__median__min,0.0005480434958363635
component_11__radius__mean__count,0.0005453069104384902
component_10__curvature__min__mean,0.0005450778787414497
component_4__curvature__median__max,0.0005444205037049158
component_22__radius__max__mean,0.0005435378040342554
component_19__tortuosity__count,0.0005434835864772173
component_8__radius__q1__mean,0.0005411486179882902
component_22__curvature__max__mean,0.0005401234567901226
component_19__radius__min__min,0.0005394359120125843
component_21__curvature__mean__mean,0.0005360160540768882
component_1__curvature__q3__min,0.0005352358673784484
component_1__curvature__min__min,0.0005348887473089917
component_27__volume__max,0.0005344338759831713
component_3__radius__min__max,0.0005322514501146571
component_24__curvature__mean__mean,0.0005322185970636201
component_26__radius__min__count,0.0005311355311355308
component_25__curvature__max__mean,0.0005311355311355299
component_25__curvature__q3__count,0.0005294356292823651
component_1__radius__q3__mean,0.0005281055498089012
component_6__radius__q1__mean,0.0005275845534577316
component_11__length__min,0.000527072522048723
component_25__curvature__q1__count,0.0005258662030931541
component_26__radius__q3__min,0.0005258662030931536
component_4__tortuosity__min,0.0005238705791210424
component_8__radius__min__count,0.0005221930694555698
component_20__curvature__q3__count,0.000522079249271058
component_13__radius__median__mean,0.0005212366043677314
component_3__radius__max__mean,0.0005210292404233172
component_14__radius__sd__max,0.0005208293188041628
component_13__curvature__min__mean,0.0005195418714526265
component_18__volume__min,0.0005185385550383235
component_29__radius__mean__max,0.000518292682926829
component_13__radius__mean__max,0.000517881064084659
component_1_bifurcation__angles__pair1__min,0.0005177510682182935
component_5__curvature__q3__max,0.000514194197193725
component_5_bifurcation__angles__pair3__min,0.0005129207018182747
component_26__length__max,0.0005120427381383533
component_17__radius__q1__max,0.0005115220957587678
component_12__volume__std,0.000511348185478478
component_15__curvature__sd__max,0.0005098549418152088
component_24__radius__sd__mean,0.0005090984596798539
component_4__curvature__median__min,0.0005084218428597682
component_31__radius__max__count,0.0005083603020496204
component_5__curvature__max__mean,0.0005076387886381574
component_1__radius__sd__std,0.000507113968427616
component_2__length__min,0.0005061407829505911
component_21__curvature__q3__count,0.0005059162621359217
component_12__radius__mean__min,0.0005041883989252402
component_25__volume__min,0.0005041883989252394
component_3__tortuosity__min,0.0005036301704782653
component_13__curvature__sd__mean,0.0004991421733652304
component_8__radius__q3__count,0.0004970914201994367
component_27__length__min,0.0004970873285905762
component_24__radius__max__max,0.000496987951807228
component_13__length__min,0.0004966105920223622
component_3__curvature__min__mean,0.0004961236594810621
component_26__volume__count,0.0004936689453234488
component_7__radius__min__max,0.0004927446808097675
component_1__curvature__max__mean,0.0004910230050624592
component_28__curvature__mean__count,0.0004909480375898272
component_6__curvature__q3__count,0.0004907337648348423
component_7__radius__min__min,0.000490212928876827
component_27__tortuosity__count,0.0004900932400932383
component_25__radius__min__max,0.0004900932400932371
component_8__curvature__q1__mean,0.0004838666700740304
